class;precision;recall
alt.atheism;0.85;0.89
comp.graphics;0.73;0.81
comp.os.ms-windows.misc;0.75;0.62
comp.sys.ibm.pc.hardware;0.7;0.79
comp.sys.mac.hardware;0.78;0.83
comp.windows.x;0.87;0.87
misc.forsale;0.75;0.81
rec.autos;0.91;0.87
rec.motorcycles;0.97;0.93
rec.sport.baseball;0.97;0.94
rec.sport.hockey;0.94;0.98
sci.crypt;0.96;0.89
sci.electronics;0.85;0.8
sci.med;0.92;0.9
sci.space;0.94;0.93
soc.religion.christian;0.89;0.9
talk.politics.guns;0.9;0.92
talk.politics.mideast;0.93;0.93
talk.politics.misc;0.84;0.9
talk.religion.misc;0.78;0.72
