model_name;fold;time_train;time_application;accuracy
Gaussian Naive Bayes (var_smoothing=1e-09);1;11.648;15.963;0.6603923647932132
MLP (layers=10, lr=0.001, relu);1;290.855;0.278;0.788441145281018
MLP (layers=100, lr=0.001, relu);1;881.979;0.36;0.823170731707317
MLP (layers=132, lr=0.001, relu);1;1109.083;0.425;0.8149522799575822
MLP (layers=10, lr=0.01, relu);1;103.463;0.217;0.7865853658536586
MLP (layers=100, lr=0.01, relu);1;334.298;0.3;0.777306468716861
MLP (layers=132, lr=0.01, relu);1;435.329;0.427;0.764846235418876
MLP (layers=10, lr=0.1, relu);1;43.447;0.163;0.7250795334040296
MLP (layers=100, lr=0.1, relu);1;128.535;0.317;0.7298515376458112
MLP (layers=132, lr=0.1, relu);1;162.452;0.354;0.7277306468716861
MLP (layers=10, lr=0.001, tanh);1;280.704;0.17;0.7971898197242842
MLP (layers=100, lr=0.001, tanh);1;908.779;0.429;0.8149522799575822
MLP (layers=132, lr=0.001, tanh);1;809.274;0.406;0.8258218451749735
MLP (layers=10, lr=0.01, tanh);1;143.901;0.171;0.778897136797455
MLP (layers=100, lr=0.01, tanh);1;336.085;0.363;0.7733297985153764
MLP (layers=132, lr=0.01, tanh);1;414.243;0.326;0.7611346765641569
MLP (layers=10, lr=0.1, tanh);1;42.937;0.166;0.7272004241781548
MLP (layers=100, lr=0.1, tanh);1;129.191;0.346;0.7383351007423118
MLP (layers=132, lr=0.1, tanh);1;162.998;0.35;0.7465535524920467
Random Forest (n_tree=1, max_feat=sqrt);1;1.824;0.219;0.3830858960763521
Random Forest (n_tree=10, max_feat=sqrt);1;9.391;0.241;0.6436903499469777
Random Forest (n_tree=100, max_feat=sqrt);1;123.131;0.941;0.7428419936373277
Random Forest (n_tree=500, max_feat=sqrt);1;459.755;2.007;0.7515906680805938
Random Forest (n_tree=1000, max_feat=sqrt);1;985.164;3.972;0.7489395546129375
Random Forest (n_tree=1, max_feat=log2);1;2.014;0.289;0.2486744432661718
Random Forest (n_tree=10, max_feat=log2);1;4.615;0.362;0.4981442205726405
Random Forest (n_tree=100, max_feat=log2);1;36.952;0.925;0.7446977730646872
Random Forest (n_tree=500, max_feat=log2);1;168.821;3.073;0.795068928950159
Random Forest (n_tree=1000, max_feat=log2);1;346.104;6.664;0.7937433722163308
KNN (n_neighbors=5);1;33.451;1460.384;0.25927889713679747
KNN (n_neighbors=27);1;23.01;1401.402;0.07104984093319194
KNN (n_neighbors=81);1;22.782;1413.514;0.7253446447507953
KNN (n_neighbors=137);1;22.64;1409.251;0.721102863202545
Gaussian Naive Bayes (var_smoothing=1e-09);2;12.261;16.198;0.7463518174582118
MLP (layers=10, lr=0.001, relu);2;297.095;0.173;0.8301936853276731
MLP (layers=100, lr=0.001, relu);2;878.406;0.381;0.8583178561952772
MLP (layers=132, lr=0.001, relu);2;1031.22;0.458;0.8593791456619793
MLP (layers=10, lr=0.01, relu);2;161.526;0.175;0.8174582117272486
MLP (layers=100, lr=0.01, relu);2;389.368;0.358;0.8169275669938976
MLP (layers=132, lr=0.01, relu);2;470.664;0.323;0.8148049880604935
MLP (layers=10, lr=0.1, relu);2;45.875;0.166;0.7821703369594056
MLP (layers=100, lr=0.1, relu);2;138.323;0.316;0.7845582382594852
MLP (layers=132, lr=0.1, relu);2;174.473;0.336;0.7999469355266648
MLP (layers=10, lr=0.001, tanh);2;332.758;0.264;0.8357654550278588
MLP (layers=100, lr=0.001, tanh);2;781.306;0.354;0.8622976916954099
MLP (layers=132, lr=0.001, tanh);2;1363.783;0.417;0.851950119395065
MLP (layers=10, lr=0.01, tanh);2;120.711;0.174;0.8272751392942425
MLP (layers=100, lr=0.01, tanh);2;352.966;0.382;0.8153356327938445
MLP (layers=132, lr=0.01, tanh);2;381.395;0.367;0.8163969222605466
MLP (layers=10, lr=0.1, tanh);2;55.241;0.185;0.765189705492173
MLP (layers=100, lr=0.1, tanh);2;147.003;0.322;0.7951711329265057
MLP (layers=132, lr=0.1, tanh);2;180.893;0.494;0.7970283894932343
Random Forest (n_tree=1, max_feat=sqrt);2;2.365;0.249;0.45343592464844784
Random Forest (n_tree=10, max_feat=sqrt);2;10.356;0.291;0.6744494560891483
Random Forest (n_tree=100, max_feat=sqrt);2;97.847;0.678;0.7765985672592199
Random Forest (n_tree=500, max_feat=sqrt);2;509.594;2.522;0.7861501724595383
Random Forest (n_tree=1000, max_feat=sqrt);2;997.717;4.68;0.7856195277261874
Random Forest (n_tree=1, max_feat=log2);2;4.922;0.578;0.25868930750862296
Random Forest (n_tree=10, max_feat=log2);2;5.748;0.366;0.5436455293181215
Random Forest (n_tree=100, max_feat=log2);2;33.978;0.794;0.8028654815600955
Random Forest (n_tree=500, max_feat=log2);2;157.428;2.577;0.8331122313611038
Random Forest (n_tree=1000, max_feat=log2);2;304.679;4.891;0.8355001326611834
KNN (n_neighbors=5);2;28.305;1389.653;0.31467232687715574
KNN (n_neighbors=27);2;22.424;1411.349;0.07429026266914301
KNN (n_neighbors=81);2;22.931;1401.736;0.7559034226585302
KNN (n_neighbors=137);2;22.812;1617.968;0.7535155213584506
Gaussian Naive Bayes (var_smoothing=1e-09);3;16.633;19.721;0.7351925630810093
MLP (layers=10, lr=0.001, relu);3;431.996;0.271;0.8278884462151395
MLP (layers=100, lr=0.001, relu);3;1315.628;0.552;0.8531208499335989
MLP (layers=132, lr=0.001, relu);3;865.099;0.502;0.8653386454183267
MLP (layers=10, lr=0.01, relu);3;245.873;0.229;0.8098273572377158
MLP (layers=100, lr=0.01, relu);3;425.893;0.281;0.8159362549800797
MLP (layers=132, lr=0.01, relu);3;421.437;0.483;0.8183266932270916
MLP (layers=10, lr=0.1, relu);3;62.386;0.182;0.7790172642762284
MLP (layers=100, lr=0.1, relu);3;159.15;0.402;0.7920318725099602
MLP (layers=132, lr=0.1, relu);3;236.556;0.877;0.7848605577689243
MLP (layers=10, lr=0.001, tanh);3;469.546;0.287;0.8350597609561753
MLP (layers=100, lr=0.001, tanh);3;864.486;0.606;0.8597609561752988
MLP (layers=132, lr=0.001, tanh);3;1298.889;0.656;0.8557768924302789
MLP (layers=10, lr=0.01, tanh);3;278.035;0.504;0.8172642762284197
MLP (layers=100, lr=0.01, tanh);3;650.286;0.976;0.8119521912350598
MLP (layers=132, lr=0.01, tanh);3;602.774;0.831;0.8204515272244356
MLP (layers=10, lr=0.1, tanh);3;93.866;0.382;0.7752988047808765
MLP (layers=100, lr=0.1, tanh);3;188.694;0.551;0.7811420982735724
MLP (layers=132, lr=0.1, tanh);3;216.709;0.565;0.7965471447543161
Random Forest (n_tree=1, max_feat=sqrt);3;3.043;0.363;0.4666666666666667
Random Forest (n_tree=10, max_feat=sqrt);3;14.556;0.452;0.6778220451527225
Random Forest (n_tree=100, max_feat=sqrt);3;124.124;0.986;0.7652058432934927
Random Forest (n_tree=500, max_feat=sqrt);3;651.366;2.494;0.7768924302788844
Random Forest (n_tree=1000, max_feat=sqrt);3;1194.163;5.846;0.7784860557768924
Random Forest (n_tree=1, max_feat=log2);3;2.039;0.467;0.26374501992031874
Random Forest (n_tree=10, max_feat=log2);3;5.382;0.521;0.548472775564409
Random Forest (n_tree=100, max_feat=log2);3;47.246;1.071;0.7856573705179283
Random Forest (n_tree=500, max_feat=log2);3;229.676;3.791;0.8217795484727756
Random Forest (n_tree=1000, max_feat=log2);3;392.214;10.968;0.8201859229747676
KNN (n_neighbors=5);3;46.309;1777.404;0.3893758300132802
KNN (n_neighbors=27);3;25.038;1815.003;0.07755644090305445
KNN (n_neighbors=81);3;32.792;1933.18;0.7288180610889774
KNN (n_neighbors=137);3;24.986;1586.019;0.7258964143426295
Gaussian Naive Bayes (var_smoothing=1e-09);4;12.474;15.9;0.754982726547967
MLP (layers=10, lr=0.001, relu);4;352.828;0.288;0.8259367525910178
MLP (layers=100, lr=0.001, relu);4;959.7;0.407;0.8551687483390912
MLP (layers=132, lr=0.001, relu);4;1423.685;1.78;0.852777039596067
MLP (layers=10, lr=0.01, relu);4;332.36;0.345;0.8076003188944991
MLP (layers=100, lr=0.01, relu);4;584.584;0.506;0.8147754451235716
MLP (layers=132, lr=0.01, relu);4;374.445;0.608;0.8378952963061387
MLP (layers=10, lr=0.1, relu);4;77.204;0.307;0.7741163964921605
MLP (layers=100, lr=0.1, relu);4;214.476;0.467;0.7783683231464257
MLP (layers=132, lr=0.1, relu);4;224.387;0.656;0.7852777039596067
MLP (layers=10, lr=0.001, tanh);4;483.624;0.394;0.8360350783948977
MLP (layers=100, lr=0.001, tanh);4;1101.278;0.328;0.8530427850119585
MLP (layers=132, lr=0.001, tanh);4;986.516;0.434;0.8583576933297901
MLP (layers=10, lr=0.01, tanh);4;172.765;0.191;0.8230135530162105
MLP (layers=100, lr=0.01, tanh);4;400.644;0.324;0.807068828062716
MLP (layers=132, lr=0.01, tanh);4;419.073;0.462;0.8073345734786075
MLP (layers=10, lr=0.1, tanh);4;61.124;0.2;0.7725219239968111
MLP (layers=100, lr=0.1, tanh);4;148.917;0.427;0.779431304809992
MLP (layers=132, lr=0.1, tanh);4;193.868;0.566;0.8049428647355833
Random Forest (n_tree=1, max_feat=sqrt);4;2.409;0.269;0.4592080786606431
Random Forest (n_tree=10, max_feat=sqrt);4;11.16;0.307;0.6874833909115068
Random Forest (n_tree=100, max_feat=sqrt);4;94.203;0.558;0.7624235981929312
Random Forest (n_tree=500, max_feat=sqrt);4;460.172;1.913;0.7725219239968111
Random Forest (n_tree=1000, max_feat=sqrt);4;938.747;4.149;0.7751793781557268
Random Forest (n_tree=1, max_feat=log2);4;2.141;0.365;0.3095934095136859
Random Forest (n_tree=10, max_feat=log2);4;5.026;0.375;0.5692266808397555
Random Forest (n_tree=100, max_feat=log2);4;34.535;0.746;0.8014881743289928
Random Forest (n_tree=500, max_feat=log2);4;163.221;2.894;0.8280627159181504
Random Forest (n_tree=1000, max_feat=log2);4;325.249;5.716;0.8320488971565241
KNN (n_neighbors=5);4;25.449;1655.856;0.3882540526175923
KNN (n_neighbors=27);4;23.437;1678.921;0.08184958809460537
KNN (n_neighbors=81);4;34.702;1543.027;0.7435556736646293
KNN (n_neighbors=137);4;23.082;1929.003;0.7451501461599788
Gaussian Naive Bayes (var_smoothing=1e-09);5;16.602;18.896;0.6924714019686087
MLP (layers=10, lr=0.001, relu);5;337.771;0.245;0.8044692737430168
MLP (layers=100, lr=0.001, relu);5;903.127;0.364;0.8244213886671987
MLP (layers=132, lr=0.001, relu);5;1129.27;0.456;0.822293163075286
MLP (layers=10, lr=0.01, relu);5;103.153;0.162;0.7815908486299548
MLP (layers=100, lr=0.01, relu);5;348.765;0.282;0.7914338919925512
MLP (layers=132, lr=0.01, relu);5;407.136;0.392;0.7861133280127693
MLP (layers=10, lr=0.1, relu);5;49.721;0.172;0.7257249268422453
MLP (layers=100, lr=0.1, relu);5;130.473;0.319;0.7549880287310455
MLP (layers=132, lr=0.1, relu);5;181.836;0.348;0.7472732109603618
MLP (layers=10, lr=0.001, tanh);5;266.922;0.174;0.8119180633147114
MLP (layers=100, lr=0.001, tanh);5;735.509;0.4;0.8268156424581006
MLP (layers=132, lr=0.001, tanh);5;900.995;0.499;0.8230912476722533
MLP (layers=10, lr=0.01, tanh);5;142.058;0.173;0.7906358073955839
MLP (layers=100, lr=0.01, tanh);5;323.057;0.365;0.7813248204309656
MLP (layers=132, lr=0.01, tanh);5;368.243;0.347;0.7688214950784783
MLP (layers=10, lr=0.1, tanh);5;49.356;0.173;0.727853152434158
MLP (layers=100, lr=0.1, tanh);5;132.968;0.251;0.7536578877361
MLP (layers=132, lr=0.1, tanh);5;169.627;0.334;0.7555200851290237
Random Forest (n_tree=1, max_feat=sqrt);5;1.775;0.215;0.42830540037243947
Random Forest (n_tree=10, max_feat=sqrt);5;9.362;0.24;0.6451183825485501
Random Forest (n_tree=100, max_feat=sqrt);5;86.241;0.559;0.7483373237563181
Random Forest (n_tree=500, max_feat=sqrt);5;427.454;1.684;0.7581803671189146
Random Forest (n_tree=1000, max_feat=sqrt);5;856.573;3.362;0.7568502261239691
Random Forest (n_tree=1, max_feat=log2);5;1.341;0.23;0.2569832402234637
Random Forest (n_tree=10, max_feat=log2);5;3.661;0.249;0.5179569034317638
Random Forest (n_tree=100, max_feat=log2);5;29.947;0.674;0.7645650438946529
Random Forest (n_tree=500, max_feat=log2);5;148.109;2.547;0.8055333865389731
Random Forest (n_tree=1000, max_feat=log2);5;296.3;5.089;0.8047353019420058
KNN (n_neighbors=5);5;22.794;1678.101;0.31471135940409684
KNN (n_neighbors=27);5;49.617;2872.623;0.1412609736632083
KNN (n_neighbors=81);5;73.122;4203.2;0.7281191806331471
KNN (n_neighbors=137);5;70.852;1700.322;0.7246608140462889
